# Jmax  =         2048
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# time              <x>               <(x-<x>)**2>
   0.00000000E+000  -0.50000000E+000   0.10000000E-001
   0.50000000E-003  -0.49001207E+000   0.10006210E-001
   0.10000000E-002  -0.48002415E+000   0.10024838E-001
   0.15000000E-002  -0.47003622E+000   0.10055886E-001
   0.20000000E-002  -0.46004830E+000   0.10099353E-001
   0.25000000E-002  -0.45006037E+000   0.10155239E-001
   0.30000000E-002  -0.44007245E+000   0.10223544E-001
   0.35000000E-002  -0.43008452E+000   0.10304269E-001
   0.40000000E-002  -0.42009660E+000   0.10397412E-001
   0.45000000E-002  -0.41010867E+000   0.10502975E-001
   0.50000000E-002  -0.40012075E+000   0.10620957E-001
   0.55000000E-002  -0.39013282E+000   0.10751358E-001
   0.60000000E-002  -0.38014490E+000   0.10894178E-001
   0.65000000E-002  -0.37015697E+000   0.11049417E-001
   0.70000000E-002  -0.36016905E+000   0.11217075E-001
   0.75000000E-002  -0.35018112E+000   0.11397153E-001
   0.80000000E-002  -0.34019319E+000   0.11589650E-001
   0.85000000E-002  -0.33020527E+000   0.11794565E-001
   0.90000000E-002  -0.32021734E+000   0.12011900E-001
   0.95000000E-002  -0.31022942E+000   0.12241654E-001
   0.10000000E-001  -0.30024149E+000   0.12483828E-001
   0.10500000E-001  -0.29025357E+000   0.12738420E-001
   0.11000000E-001  -0.28026564E+000   0.13005431E-001
   0.11500000E-001  -0.27027772E+000   0.13284862E-001
   0.12000000E-001  -0.26028979E+000   0.13576712E-001
   0.12500000E-001  -0.25030187E+000   0.13880980E-001
   0.13000000E-001  -0.24031394E+000   0.14197668E-001
   0.13500000E-001  -0.23032602E+000   0.14526776E-001
   0.14000000E-001  -0.22033809E+000   0.14868302E-001
   0.14500000E-001  -0.21035016E+000   0.15222247E-001
   0.15000000E-001  -0.20036224E+000   0.15588612E-001
   0.15500000E-001  -0.19037431E+000   0.15967396E-001
   0.16000000E-001  -0.18038639E+000   0.16358598E-001
   0.16500000E-001  -0.17039846E+000   0.16762220E-001
   0.17000000E-001  -0.16041054E+000   0.17178261E-001
   0.17500000E-001  -0.15042261E+000   0.17606722E-001
   0.18000000E-001  -0.14043469E+000   0.18047601E-001
   0.18500000E-001  -0.13044676E+000   0.18500900E-001
   0.19000000E-001  -0.12045884E+000   0.18966617E-001
   0.19500000E-001  -0.11047091E+000   0.19444754E-001
   0.20000000E-001  -0.10048299E+000   0.19935310E-001
   0.20500000E-001  -0.90495061E-001   0.20438285E-001
   0.21000000E-001  -0.80507135E-001   0.20953679E-001
   0.21500000E-001  -0.70519210E-001   0.21481493E-001
   0.22000000E-001  -0.60531285E-001   0.22021725E-001
   0.22500000E-001  -0.50543359E-001   0.22574377E-001
   0.23000000E-001  -0.40555434E-001   0.23139448E-001
   0.23500000E-001  -0.30567509E-001   0.23716937E-001
   0.24000000E-001  -0.20579583E-001   0.24306846E-001
   0.24500000E-001  -0.10591658E-001   0.24909175E-001
   0.25000000E-001  -0.60373247E-003   0.25523922E-001
   0.25500000E-001   0.93841929E-002   0.26151088E-001
   0.26000000E-001   0.19372118E-001   0.26790674E-001
   0.26500000E-001   0.29360044E-001   0.27442679E-001
   0.27000000E-001   0.39347969E-001   0.28107103E-001
   0.27500000E-001   0.49335894E-001   0.28783946E-001
   0.28000000E-001   0.59323820E-001   0.29473208E-001
   0.28500000E-001   0.69311745E-001   0.30174889E-001
   0.29000000E-001   0.79299670E-001   0.30888989E-001
   0.29500000E-001   0.89287596E-001   0.31615509E-001
   0.30000000E-001   0.99275521E-001   0.32354448E-001
   0.30500000E-001   0.10926345E+000   0.33105805E-001
   0.31000000E-001   0.11925137E+000   0.33869582E-001
   0.31500000E-001   0.12923930E+000   0.34645778E-001
   0.32000000E-001   0.13922722E+000   0.35434394E-001
   0.32500000E-001   0.14921515E+000   0.36235428E-001
   0.33000000E-001   0.15920307E+000   0.37048882E-001
   0.33500000E-001   0.16919100E+000   0.37874754E-001
   0.34000000E-001   0.17917892E+000   0.38713046E-001
   0.34500000E-001   0.18916685E+000   0.39563757E-001
   0.35000000E-001   0.19915477E+000   0.40426887E-001
   0.35500000E-001   0.20914270E+000   0.41302436E-001
   0.36000000E-001   0.21913063E+000   0.42190405E-001
   0.36500000E-001   0.22911855E+000   0.43090792E-001
   0.37000000E-001   0.23910648E+000   0.44003599E-001
   0.37500000E-001   0.24909440E+000   0.44928824E-001
   0.38000000E-001   0.25908233E+000   0.45866469E-001
   0.38500000E-001   0.26907025E+000   0.46816533E-001
   0.39000000E-001   0.27905818E+000   0.47779016E-001
   0.39500000E-001   0.28904610E+000   0.48753919E-001
   0.40000000E-001   0.29903403E+000   0.49741240E-001
   0.40500000E-001   0.30902195E+000   0.50740981E-001
   0.41000000E-001   0.31900988E+000   0.51753140E-001
   0.41500000E-001   0.32899780E+000   0.52777719E-001
   0.42000000E-001   0.33898573E+000   0.53814717E-001
   0.42500000E-001   0.34897365E+000   0.54864134E-001
   0.43000000E-001   0.35896158E+000   0.55925971E-001
   0.43500000E-001   0.36894951E+000   0.57000226E-001
   0.44000000E-001   0.37893743E+000   0.58086901E-001
   0.44500000E-001   0.38892536E+000   0.59185994E-001
   0.45000000E-001   0.39891328E+000   0.60297507E-001
   0.45500000E-001   0.40890121E+000   0.61421439E-001
   0.46000000E-001   0.41888913E+000   0.62557790E-001
   0.46500000E-001   0.42887706E+000   0.63706560E-001
   0.47000000E-001   0.43886498E+000   0.64867750E-001
   0.47500000E-001   0.44885291E+000   0.66041358E-001
   0.48000000E-001   0.45884083E+000   0.67227386E-001
   0.48500000E-001   0.46882876E+000   0.68425833E-001
