4.0000000000000000E+00  4.2281206182499993E+00  4.2694705710468748E+00  4.2796436905468749E+00
3.8999999999999999E+00  4.5115088311875002E+00  4.5497352327031244E+00  4.5096457192773443E+00
3.7999999999999998E+00  4.8461221205000005E+00  4.8008801759062507E+00  4.8307292948281253E+00
3.6999999999999997E+00  5.1721880461875003E+00  5.2336565669687500E+00  5.2087378002968752E+00
3.5999999999999996E+00  5.6123837328749993E+00  5.6161407552500009E+00  5.5616743771523440E+00
3.4999999999999996E+00  6.0046118221249998E+00  6.1035337369062495E+00  6.0678254014179682E+00
3.3999999999999995E+00  6.6831460708125006E+00  6.7494310204062504E+00  6.6843434561367188E+00
3.2999999999999994E+00  7.3543850853750001E+00  7.6407276719843766E+00  7.6815884551015632E+00
3.1999999999999993E+00  8.3044810110624994E+00  8.4558891585781240E+00  8.4943027536093769E+00
3.0999999999999992E+00  9.4580558422500012E+00  9.6826802224375008E+00  9.7621576337382798E+00
2.9999999999999991E+00  1.0934360298375001E+01  1.1207440815875000E+01  1.1458340567085937E+01
2.8999999999999990E+00  1.2967136517375000E+01  1.3594906729515625E+01  1.4143509832511720E+01
2.7999999999999989E+00  1.5307776785937500E+01  1.7672589648390627E+01  1.7738978015304685E+01
2.6999999999999988E+00  1.8666691039562501E+01  2.3655758169062501E+01  2.4206713392382813E+01
2.5999999999999988E+00  2.2359886480625001E+01  3.3415455601609366E+01  3.5712682048656248E+01
2.4999999999999987E+00  2.7005031294750001E+01  5.1738923709046880E+01  5.9912457324242190E+01
2.3999999999999986E+00  3.3331551121812495E+01  8.1074258799328135E+01  1.2769750441682814E+02
2.2999999999999985E+00  3.8114333653250000E+01  1.1510295391789062E+02  2.3709632365456255E+02
2.1999999999999984E+00  4.0807946773937495E+01  1.1340535812335936E+02  1.0612929295999994E+01
2.0999999999999983E+00  4.2644190644000005E+01  3.8405961900874992E+01  1.9231301158906036E+00
1.9999999999999982E+00  4.9008541532437498E+01  7.2262651501562514E-01  7.8273076567577393E-01
1.8999999999999981E+00  6.0186419267500035E+00  3.6441900456250947E-01  3.7958296302342659E-01
1.7999999999999980E+00  1.9566435637499707E-01  1.9802823312499812E-01  2.1269623471484919E-01
1.6999999999999980E+00  1.1787610831249964E-01  1.1802672657812537E-01  1.1736719064455201E-01
1.5999999999999979E+00  6.6650409437496450E-02  6.9845546609374767E-02  6.8586673167953902E-02
1.4999999999999978E+00  4.0551974812501612E-02  4.1531829812507227E-02  4.0157150777338300E-02
1.3999999999999977E+00  2.2756968562502776E-02  2.3984611999995308E-02  2.3429214953125665E-02
1.2999999999999976E+00  1.2940438687502364E-02  1.3132224109375557E-02  1.3212566566392071E-02
1.1999999999999975E+00  6.8905540000038460E-03  7.0382849218702855E-03  7.0070920742182352E-03
1.0999999999999974E+00  3.4656233125019754E-03  3.5044538281255198E-03  3.5400290469169704E-03
9.9999999999999745E-01  1.6138406249986304E-03  1.6313301562377092E-03  1.5725091289255032E-03
8.9999999999999747E-01  5.8244212499971584E-04  6.1338018749950156E-04  6.1322127343146351E-04
7.9999999999999749E-01  1.9748506249968046E-04  1.9087359374907463E-04  1.9385164847562919E-04
6.9999999999999751E-01  3.9342687500010240E-05  5.0765000005981163E-05  4.7101062489218751E-05
5.9999999999999754E-01  9.3730624975307812E-06  4.2171093753040624E-06  6.4350351408393184E-06
4.9999999999999756E-01  6.2493749979353193E-07  4.6867187961652237E-07  3.9050780742400093E-07
3.9999999999999758E-01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
2.9999999999999760E-01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
1.9999999999999760E-01  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
9.9999999999997591E-02  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
