# Jmax  =         2048
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# x              r(j)               real              aimag
  -0.36914062E+001   0.27217076E-220   0.36395901E-113   0.52169975E-110
  -0.36875000E+001   0.94606360E-220  -0.75235116E-111   0.96974392E-110
  -0.36835938E+001   0.32834962E-219  -0.28073208E-110   0.17901636E-109
  -0.36796875E+001   0.11378631E-218  -0.78109162E-110   0.32815434E-109
  -0.36757812E+001   0.39371398E-218  -0.19249072E-109   0.59721127E-109
  -0.36718750E+001   0.13602195E-217  -0.44332948E-109   0.10787393E-108
  -0.36679688E+001   0.46921776E-217  -0.97725341E-109   0.19331718E-108
  -0.36640625E+001   0.16161335E-216  -0.20881470E-108   0.34352550E-108
  -0.36601562E+001   0.55579844E-216  -0.43577919E-108   0.60489250E-108
  -0.36562500E+001   0.19085113E-215  -0.89254170E-108   0.10544575E-107
  -0.36523438E+001   0.65434905E-215  -0.18000104E-107   0.18175404E-107
  -0.36484375E+001   0.22400697E-214  -0.35827341E-107   0.30926871E-107
  -0.36445312E+001   0.76568636E-214  -0.70498779E-107   0.51834214E-107
  -0.36406250E+001   0.26132298E-213  -0.13731647E-106   0.85302308E-107
  -0.36367188E+001   0.89051577E-213  -0.26500290E-106   0.13720438E-106
  -0.36328125E+001   0.30300022E-212  -0.50708387E-106   0.21416390E-106
  -0.36289062E+001   0.10293939E-211  -0.96260738E-106   0.32059471E-106
  -0.36250000E+001   0.34918660E-211  -0.18135874E-105   0.45029631E-106
  -0.36210938E+001   0.11826898E-210  -0.33921803E-105   0.56569560E-106
  -0.36171875E+001   0.39996453E-210  -0.63002903E-105   0.55026762E-106
  -0.36132812E+001   0.13505461E-209  -0.11620830E-104   0.10452018E-106
  -0.36093750E+001   0.45533879E-209  -0.21287699E-104  -0.14739895E-105
  -0.36054688E+001   0.15328414E-208  -0.38727798E-104  -0.57444837E-105
  -0.36015625E+001   0.51522521E-208  -0.69963824E-104  -0.16041054E-104
  -0.35976562E+001   0.17291565E-207  -0.12548725E-103  -0.39300341E-104
  -0.35937500E+001   0.57944049E-207  -0.22339823E-103  -0.89650870E-104
  -0.35898438E+001   0.19387450E-206  -0.39459018E-103  -0.19537934E-103
  -0.35859375E+001   0.64769396E-206  -0.69115433E-103  -0.41231014E-103
  -0.35820312E+001   0.21605102E-205  -0.11996949E-102  -0.84925990E-103
  -0.35781250E+001   0.71958174E-205  -0.20617976E-102  -0.17160443E-102
  -0.35742188E+001   0.23929920E-204  -0.35041995E-102  -0.34132838E-102
  -0.35703125E+001   0.79458378E-204  -0.58804999E-102  -0.66991118E-102
  -0.35664062E+001   0.26343620E-203  -0.97227016E-102  -0.12996356E-101
  -0.35625000E+001   0.87206435E-203  -0.15790399E-101  -0.24954512E-101
  -0.35585938E+001   0.28824311E-202  -0.25079320E-101  -0.47470609E-101
  -0.35546875E+001   0.95127624E-202  -0.38691158E-101  -0.89530758E-101
  -0.35507812E+001   0.31346690E-201  -0.57336680E-101  -0.16750879E-100
  -0.35468750E+001   0.10313689E-200  -0.79971688E-101  -0.31103283E-100
  -0.35429688E+001   0.33882365E-200  -0.10050904E-100  -0.57334247E-100
  -0.35390625E+001   0.11114008E-199  -0.10043710E-100  -0.10494347E-099
  -0.35351562E+001   0.36400305E-199  -0.32986274E-101  -0.19076012E-099
  -0.35312500E+001   0.11903554E-198   0.20975959E-100  -0.34437705E-099
  -0.35273438E+001   0.38867411E-198   0.86354127E-100  -0.61742779E-099
  -0.35234375E+001   0.12671612E-197   0.24245364E-099  -0.10992622E-098
  -0.35195312E+001   0.41249194E-197   0.59089716E-099  -0.19431315E-098
  -0.35156250E+001   0.13407147E-196   0.13354594E-098  -0.34093541E-098
  -0.35117188E+001   0.43510553E-196   0.28778097E-098  -0.59353825E-098
  -0.35078125E+001   0.14099060E-195   0.59984205E-098  -0.10247417E-097
  -0.35039062E+001   0.45616612E-195   0.12195203E-097  -0.17534056E-097
  -0.35000000E+001   0.14736461E-194   0.24311920E-097  -0.29708192E-097
  -0.34960938E+001   0.47533601E-194   0.47694932E-097  -0.49785073E-097
  -0.34921875E+001   0.15308955E-193   0.92306182E-097  -0.82392497E-097
  -0.34882812E+001   0.49229756E-193   0.17655452E-096  -0.13438102E-096
  -0.34843750E+001   0.15806916E-192   0.33419311E-096  -0.21536975E-096
  -0.34804688E+001   0.50676187E-192   0.62664935E-096  -0.33774614E-096
  -0.34765625E+001   0.16221762E-191   0.11649119E-095  -0.51493338E-096
  -0.34726562E+001   0.51847695E-191   0.21481098E-095  -0.75524431E-096
  -0.34687500E+001   0.16546197E-190   0.39310263E-095  -0.10455761E-095
  -0.34648438E+001   0.52723502E-190   0.71413831E-095  -0.13130690E-095
  -0.34609375E+001   0.16774425E-189   0.12882020E-094  -0.13408259E-095
  -0.34570312E+001   0.53287866E-189   0.23076609E-094  -0.59058133E-096
  -0.34531250E+001   0.16902321E-188   0.41055704E-094   0.21589870E-095
  -0.34492188E+001   0.53530547E-188   0.72540894E-094   0.95327508E-095
  -0.34453125E+001   0.16927559E-187   0.12728041E-093   0.26967678E-094
  -0.34414062E+001   0.53447120E-187   0.22173588E-093   0.65424144E-094
  -0.34375000E+001   0.16849678E-186   0.38343685E-093   0.14653654E-093
  -0.34335938E+001   0.53039109E-186   0.65792754E-093   0.31228583E-093
  -0.34296875E+001   0.16670098E-185   0.11196376E-092   0.64297858E-093
  -0.34257812E+001   0.52313936E-185   0.18884847E-092   0.12903562E-092
  -0.34218750E+001   0.16392076E-184   0.31544260E-092   0.25380451E-092
  -0.34179688E+001   0.51284705E-184   0.52121390E-092   0.49110398E-092
  -0.34140625E+001   0.16020611E-183   0.85066293E-092   0.93724792E-092
  -0.34101562E+001   0.49969799E-183   0.13685833E-091   0.17674726E-091
  -0.34062500E+001   0.15562288E-182   0.21644037E-091   0.32981275E-091
  -0.34023438E+001   0.48392339E-182   0.33511669E-091   0.60960659E-091
  -0.33984375E+001   0.15025091E-181   0.50486039E-091   0.11169714E-090
  -0.33945312E+001   0.46579509E-181   0.73271390E-091   0.20300446E-090
  -0.33906250E+001   0.14418166E-180   0.10064362E-090   0.36613184E-090
  -0.33867188E+001   0.44561774E-180   0.12615916E-090   0.65551629E-090
  -0.33828125E+001   0.13751568E-179   0.13107398E-090   0.11653225E-089
  -0.33789062E+001   0.42372034E-179   0.69732903E-091   0.20572654E-089
  -0.33750000E+001   0.13035981E-178  -0.15968548E-090   0.36070045E-089
  -0.33710938E+001   0.40044736E-178  -0.77241881E-090   0.62807727E-089
  -0.33671875E+001   0.12282435E-177  -0.22071199E-089   0.10860616E-088
  -0.33632812E+001   0.37614980E-177  -0.53340200E-089   0.18646663E-088
  -0.33593750E+001   0.11502030E-176  -0.11843783E-088   0.31779362E-088
  -0.33554688E+001   0.35117655E-176  -0.24965699E-088   0.53744575E-088
  -0.33515625E+001   0.10705669E-175  -0.50780783E-088   0.90149772E-088
  -0.33476562E+001   0.32586631E-175  -0.10060049E-087   0.14988720E-087
  -0.33437500E+001   0.99038127E-175  -0.19523928E-087   0.24681927E-087
  -0.33398438E+001   0.30054028E-174  -0.37262753E-087   0.40210571E-087
  -0.33359375E+001   0.91062650E-174  -0.70127362E-087   0.64717989E-087
  -0.33320312E+001   0.27549594E-173  -0.13038949E-086   0.10270431E-086
  -0.33281250E+001   0.83219946E-173  -0.23986035E-086   0.16027152E-086
  -0.33242188E+001   0.25100188E-172  -0.43701830E-086   0.24498345E-086
  -0.33203125E+001   0.75589914E-172  -0.78925770E-086   0.36465246E-086
  -0.33164062E+001   0.22729404E-171  -0.14137895E-085   0.52358334E-086
  -0.33125000E+001   0.68241654E-171  -0.25130477E-085   0.71327170E-086
  -0.33085938E+001   0.20457303E-170  -0.44342226E-085   0.89161257E-086
  -0.33046875E+001   0.61232857E-170  -0.77685838E-085   0.93912892E-086
  -0.33007812E+001   0.18300291E-169  -0.13515825E-084   0.57042601E-086
  -0.32968750E+001   0.54609572E-169  -0.23353595E-084  -0.83982367E-086
  -0.32929688E+001   0.16271099E-168  -0.40075296E-084  -0.45913498E-085
  -0.32890625E+001   0.48406346E-168  -0.68293604E-084  -0.13289781E-084
  -0.32851562E+001   0.14378880E-167  -0.11555740E-083  -0.32021355E-084
  -0.32812500E+001   0.42646668E-167  -0.19410034E-083  -0.70510465E-084
  -0.32773438E+001   0.12629393E-166  -0.32353309E-083  -0.14703834E-083
  -0.32734375E+001   0.37343687E-166  -0.53490451E-083  -0.29548947E-083
  -0.32695312E+001   0.11025269E-165  -0.87666988E-083  -0.57790730E-083
  -0.32656250E+001   0.32501137E-165  -0.14231577E-082  -0.11066779E-082
  -0.32617188E+001   0.95663267E-165  -0.22859818E-082  -0.20834140E-082
  -0.32578125E+001   0.28114424E-164  -0.36282012E-082  -0.38665979E-082
  -0.32539062E+001   0.82499341E-164  -0.56792610E-082  -0.70883945E-082
  -0.32500000E+001   0.24171806E-163  -0.87446301E-082  -0.12854941E-081
  -0.32460938E+001   0.70713939E-163  -0.13195208E-081  -0.23087353E-081
  -0.32421875E+001   0.20655622E-162  -0.19403536E-081  -0.41098236E-081
  -0.32382812E+001   0.60243315E-162  -0.27558346E-081  -0.72559417E-081
  -0.32343750E+001   0.17543521E-161  -0.37220864E-081  -0.12711463E-080
  -0.32304688E+001   0.51010780E-161  -0.46358303E-081  -0.22104680E-080
  -0.32265625E+001   0.14809640E-160  -0.49353450E-081  -0.38165513E-080
  -0.32226562E+001   0.42930342E-160  -0.33058203E-081  -0.65437800E-080
  -0.32187500E+001   0.12425719E-159   0.30817053E-081  -0.11142810E-079
  -0.32148438E+001   0.35910049E-159   0.20006837E-080  -0.18844038E-079
  -0.32109375E+001   0.10362101E-158   0.58864512E-080  -0.31647429E-079
  -0.32070312E+001   0.29854991E-158   0.14153676E-079  -0.52774734E-079
  -0.32031250E+001   0.85886199E-158   0.30918905E-079  -0.87364989E-079
  -0.31992188E+001   0.24669886E-157   0.63797935E-079  -0.14352599E-078
  -0.31953125E+001   0.70753550E-157   0.12668366E-078  -0.23389057E-078
  -0.31914062E+001   0.20261269E-156   0.24461406E-078  -0.37785798E-078
  -0.31875000E+001   0.57932512E-156   0.46223173E-078  -0.60470402E-078
  -0.31835938E+001   0.16539235E-155   0.85836927E-078  -0.95766677E-078
  -0.31796875E+001   0.47146099E-155   0.15710071E-077  -0.14988484E-077
  -0.31757812E+001   0.13418793E-154   0.28396704E-077  -0.23141014E-077
  -0.31718750E+001   0.38134534E-154   0.50769375E-077  -0.35155710E-077
  -0.31679688E+001   0.10820835E-153   0.89882028E-077  -0.52364644E-077
  -0.31640625E+001   0.30657759E-153   0.15770840E-076  -0.76064573E-077
  -0.31601562E+001   0.86727607E-153   0.27443054E-076  -0.10684326E-076
  -0.31562500E+001   0.24496929E-152   0.47382906E-076  -0.14302207E-076
  -0.31523438E+001   0.69088098E-152   0.81205157E-076  -0.17735059E-076
  -0.31484375E+001   0.19455041E-151   0.13817637E-075  -0.19034980E-076
  -0.31445312E+001   0.54701393E-151   0.23347947E-075  -0.13737860E-076
  -0.31406250E+001   0.15356843E-150   0.39180469E-075   0.75835712E-077
  -0.31367188E+001   0.43046992E-150   0.65298740E-075   0.63854329E-076
  -0.31328125E+001   0.12048168E-149   0.10807612E-074   0.19176012E-075
  -0.31289062E+001   0.33669488E-149   0.17761766E-074   0.46059255E-075
  -0.31250000E+001   0.93948391E-149   0.28978691E-074   0.99859602E-075
  -0.31210938E+001   0.26174566E-148   0.46921344E-074   0.20392257E-074
  -0.31171875E+001   0.72812672E-148   0.75365807E-074   0.40015776E-074
  -0.31132812E+001   0.20224219E-147   0.12001693E-073   0.76289937E-074
  -0.31093750E+001   0.56088505E-147   0.18934296E-073   0.14225944E-073
  -0.31054688E+001   0.15531496E-146   0.29564191E-073   0.26059705E-073
  -0.31015625E+001   0.42942768E-146   0.45627342E-073   0.47036395E-073
  -0.30976562E+001   0.11855069E-145   0.69480328E-073   0.83830504E-073
  -0.30937500E+001   0.32678001E-145   0.10414104E-072   0.14775874E-072
  -0.30898438E+001   0.89938199E-145   0.15311084E-072   0.25786677E-072
  -0.30859375E+001   0.24715546E-144   0.21967944E-072   0.44597803E-072
  -0.30820312E+001   0.67816216E-144   0.30512503E-072   0.76489272E-072
  -0.30781250E+001   0.18579508E-143   0.40469272E-072   0.13016046E-071
  -0.30742188E+001   0.50824392E-143   0.49928040E-072   0.21984445E-071
  -0.30703125E+001   0.13881855E-142   0.53906758E-072   0.36866327E-071
  -0.30664062E+001   0.37858213E-142   0.41235515E-072   0.61390697E-071
  -0.30625000E+001   0.10308846E-141  -0.11225959E-072   0.10152628E-070
  -0.30585938E+001   0.28028336E-141  -0.14910726E-071   0.16675133E-070
  -0.30546875E+001   0.76089001E-141  -0.45935284E-071   0.27199072E-070
  -0.30507812E+001   0.20624517E-140  -0.11034528E-070   0.44053273E-070
  -0.30468750E+001   0.55819121E-140  -0.23754052E-070   0.70835423E-070
  -0.30429688E+001   0.15084104E-139  -0.48017509E-070   0.11304169E-069
  -0.30390625E+001   0.40699904E-139  -0.93125750E-070   0.17896228E-069
  -0.30351562E+001   0.10964897E-138  -0.17531257E-069   0.28091720E-069
  -0.30312500E+001   0.29495315E-138  -0.32261414E-069   0.43689046E-069
  -0.30273438E+001   0.79220733E-138  -0.58298891E-069   0.67255577E-069
