# Jmax  =         2048
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# x              r(j)               real              aimag
  -0.40000000E+001   0.00000000E+000   0.00000000E+000   0.00000000E+000
  -0.39960938E+001   0.12447665E-029   0.86856574E-015   0.70025711E-015
  -0.39921875E+001   0.65238801E-030   0.69707670E-015   0.40800990E-015
  -0.39882812E+001   0.24154570E-030   0.13339609E-015  -0.47302345E-015
  -0.39843750E+001   0.65668067E-030   0.11013509E-015  -0.80283929E-015
  -0.39804688E+001   0.11750896E-030   0.13023667E-015  -0.31709206E-015
  -0.39765625E+001   0.28443285E-030  -0.49534655E-015   0.19764779E-015
  -0.39726562E+001   0.10266334E-029  -0.99899267E-015   0.16925437E-015
  -0.39687500E+001   0.20506978E-030  -0.44691634E-015  -0.73044956E-016
  -0.39648438E+001   0.21178075E-030   0.45959172E-015   0.23583862E-016
  -0.39609375E+001   0.47757397E-030   0.53994594E-015   0.43131468E-015
  -0.39570312E+001   0.43988595E-030   0.22947413E-016   0.66284189E-015
  -0.39531250E+001   0.22095471E-030  -0.23571731E-015   0.40668423E-015
  -0.39492188E+001   0.10614095E-030  -0.27399537E-015  -0.17625971E-015
  -0.39453125E+001   0.57364104E-030  -0.36336274E-015  -0.66453635E-015
  -0.39414062E+001   0.54492102E-030  -0.74159082E-016  -0.73445316E-015
  -0.39375000E+001   0.63354936E-030   0.69840056E-015  -0.38181935E-015
  -0.39335938E+001   0.10884580E-029   0.10399621E-014   0.83288413E-016
  -0.39296875E+001   0.32239180E-030   0.47562317E-015   0.31011998E-015
  -0.39257812E+001   0.93630370E-031  -0.16246566E-015   0.25929766E-015
  -0.39218750E+001   0.82143839E-031  -0.22375380E-015   0.17910354E-015
  -0.39179688E+001   0.77156284E-031  -0.20525119E-015   0.18715831E-015
  -0.39140625E+001   0.23060184E-030  -0.46219484E-015   0.13029875E-015
  -0.39101562E+001   0.19608279E-030  -0.44177095E-015  -0.30351658E-016
  -0.39062500E+001   0.46744709E-032   0.30277071E-016  -0.61300651E-016
  -0.39023438E+001   0.34217908E-031   0.16058308E-015   0.91820387E-016
  -0.38984375E+001   0.13155073E-030  -0.35077852E-015   0.92223442E-016
  -0.38945312E+001   0.42819566E-030  -0.62215078E-015  -0.20279070E-015
  -0.38906250E+001   0.11755462E-030  -0.90382441E-016  -0.33073499E-015
  -0.38867188E+001   0.29395163E-030   0.53622353E-015   0.80099659E-016
  -0.38828125E+001   0.50470168E-030   0.50219597E-015   0.50249466E-015
  -0.38789062E+001   0.35426165E-031   0.11386928E-015   0.14986644E-015
  -0.38750000E+001   0.45539834E-030   0.21664456E-016  -0.67448424E-015
  -0.38710938E+001   0.72822324E-030   0.23944035E-015  -0.81907970E-015
  -0.38671875E+001   0.12480746E-030   0.35161044E-015  -0.34315565E-016
  -0.38632812E+001   0.35885218E-030   0.12030282E-015   0.58683849E-015
  -0.38593750E+001   0.21674272E-030  -0.34465213E-015   0.31298184E-015
  -0.38554688E+001   0.45663974E-030  -0.65085363E-015  -0.18173962E-015
  -0.38515625E+001   0.18481708E-030  -0.42415283E-015  -0.70081816E-016
  -0.38476562E+001   0.14935616E-030   0.16547732E-015   0.34924692E-015
  -0.38437500E+001   0.34821578E-030   0.47376133E-015   0.35180390E-015
  -0.38398438E+001   0.61435468E-031   0.24712384E-015  -0.19112144E-016
  -0.38359375E+001   0.37254602E-031  -0.42123510E-016  -0.18836192E-015
  -0.38320312E+001   0.32771510E-033  -0.18035248E-016   0.15636216E-017
  -0.38281250E+001   0.33786517E-031   0.31119659E-016   0.18115762E-015
  -0.38242188E+001   0.43528929E-031  -0.18461541E-015   0.97190940E-016
  -0.38203125E+001   0.11858892E-030  -0.33727279E-015  -0.69541272E-016
  -0.38164062E+001   0.93827490E-032  -0.67258015E-016  -0.69707305E-016
  -0.38125000E+001   0.10941259E-030   0.33077530E-015  -0.53420563E-018
  -0.38085938E+001   0.17148670E-030   0.39371560E-015  -0.12835392E-015
  -0.38046875E+001   0.20464523E-030   0.21499886E-015  -0.39802100E-015
  -0.38007812E+001   0.21534121E-030   0.10524594E-015  -0.45195631E-015
  -0.37968750E+001   0.36612257E-031  -0.39078036E-016  -0.18731034E-015
  -0.37929688E+001   0.17259159E-030  -0.41234597E-015   0.50620060E-016
  -0.37890625E+001   0.52212833E-030  -0.72250211E-015  -0.10909882E-016
  -0.37851562E+001   0.35662056E-030  -0.57671770E-015  -0.15497502E-015
  -0.37812500E+001   0.28938202E-031  -0.16951670E-015  -0.14222839E-016
  -0.37773438E+001   0.14702903E-030   0.27148631E-016   0.38248135E-015
  -0.37734375E+001   0.46186553E-030   0.63401691E-016   0.67664301E-015
  -0.37695312E+001   0.57276591E-030   0.36299810E-015   0.66407702E-015
  -0.37656250E+001   0.89767407E-030   0.83876229E-015   0.44062670E-015
  -0.37617188E+001   0.75558708E-030   0.84973044E-015   0.18315364E-015
  -0.37578125E+001   0.56201313E-031   0.23029591E-015   0.56259299E-016
  -0.37539062E+001   0.98992314E-031  -0.27986194E-015   0.14376929E-015
  -0.37500000E+001   0.32952306E-031  -0.54456354E-016   0.17316700E-015
  -0.37460938E+001   0.33356582E-030   0.47098132E-015  -0.33427896E-015
  -0.37421875E+001   0.16872580E-029   0.40940062E-015  -0.12327405E-014
  -0.37382812E+001   0.27041536E-029  -0.36011172E-015  -0.16045165E-014
  -0.37343750E+001   0.22366638E-029  -0.11157585E-014  -0.99586482E-015
  -0.37304688E+001   0.14544398E-029  -0.11986488E-014  -0.13296884E-015
  -0.37265625E+001   0.38102152E-030  -0.56618693E-015   0.24587370E-015
  -0.37226562E+001   0.28985083E-030   0.32064348E-015   0.43247958E-015
  -0.37187500E+001   0.13542724E-029   0.80864409E-015   0.83687940E-015
  -0.37148438E+001   0.12771551E-029   0.51583573E-015   0.10055191E-014
  -0.37109375E+001   0.33958039E-030  -0.21411598E-015   0.54197300E-015
  -0.37070312E+001   0.35479452E-030  -0.58796695E-015   0.95338238E-016
  -0.37031250E+001   0.20514684E-030  -0.29697730E-015   0.34198147E-015
  -0.36992188E+001   0.60953117E-030   0.17087072E-015   0.76179680E-015
  -0.36953125E+001   0.35275386E-030   0.31468538E-015   0.50371319E-015
  -0.36914062E+001   0.10861073E-030   0.24944970E-015  -0.21537312E-015
  -0.36875000E+001   0.47714603E-030   0.29679235E-015  -0.62374701E-015
  -0.36835938E+001   0.63354000E-030   0.42626305E-015  -0.67219031E-015
  -0.36796875E+001   0.76211880E-030   0.44593228E-015  -0.75050863E-015
  -0.36757812E+001   0.65267571E-030   0.34258475E-015  -0.73164978E-015
  -0.36718750E+001   0.15214902E-030   0.13238455E-015  -0.36691054E-015
  -0.36679688E+001   0.44806499E-031  -0.20485029E-015  -0.53318461E-016
  -0.36640625E+001   0.21610544E-030  -0.43592179E-015  -0.16148570E-015
  -0.36601562E+001   0.12458458E-030  -0.27603831E-015  -0.21997142E-015
  -0.36562500E+001   0.52914481E-031  -0.18398598E-016   0.22929451E-015
  -0.36523438E+001   0.50760140E-030  -0.22199687E-015   0.67699246E-015
  -0.36484375E+001   0.76119789E-030  -0.69374804E-015   0.52906667E-015
  -0.36445312E+001   0.54119861E-030  -0.71150394E-015   0.18697794E-015
  -0.36406250E+001   0.15135805E-030  -0.25362722E-015   0.29501064E-015
  -0.36367188E+001   0.36327476E-030   0.91607385E-016   0.59572044E-015
  -0.36328125E+001   0.25470526E-030   0.29016629E-015   0.41292710E-015
  -0.36289062E+001   0.48100450E-030   0.66395910E-015  -0.20040663E-015
  -0.36250000E+001   0.94523298E-030   0.82696892E-015  -0.51122929E-015
  -0.36210938E+001   0.83305679E-031   0.24302151E-015  -0.15571199E-015
  -0.36171875E+001   0.34535653E-030  -0.50999959E-015   0.29198792E-015
  -0.36132812E+001   0.21050425E-030  -0.45851745E-015   0.16309719E-016
  -0.36093750E+001   0.73552396E-030   0.19249843E-015  -0.83574417E-015
  -0.36054688E+001   0.16181554E-029   0.50066654E-015  -0.11693966E-014
  -0.36015625E+001   0.32579545E-030   0.30620657E-015  -0.48169803E-015
  -0.35976562E+001   0.13425714E-030   0.14352075E-015   0.33713341E-015
  -0.35937500E+001   0.16370389E-030   0.12206085E-015   0.38575256E-015
